,Index,Title,Link,DatePublished,negative,neutral,positive,compound,sentiment
219,219,Xylexpo 2022 exceeds expectations,https://www.capitalethiopia.com/2022/10/23/xylexpo-2022-exceeds-expectations/,10-23-2022,0.012,0.74,0.248,0.9888,positive
220,220,ECA breaks ground on the Africa Hall renovation project,https://www.capitalethiopia.com/2022/10/16/eca-breaks-ground-on-the-africa-hall-renovation-project/,10-16-2022,0.0,0.781,0.219,0.9968,positive
221,221,"Socio economic improvements are pivotal, sensitizes President Sahle-Work",https://www.capitalethiopia.com/2022/10/16/socio-economic-improvements-are-pivotal-sensitizes-president-sahle-work/,10-16-2022,0.054,0.692,0.254,0.9917,positive
222,222,"Ethiopia’s irrigation systems, mini grids receive boost through USD 20 million...",https://www.capitalethiopia.com/2022/10/16/ethiopias-irrigation-systems-mini-grids-receive-boost-through-usd-20-million-injection/,10-16-2022,0.004,0.792,0.204,0.9924,positive
223,223,"Trade, investment divisional court opens its doors in Addis",https://www.capitalethiopia.com/2022/10/16/trade-investment-divisional-court-opens-its-doors-in-addis/,10-16-2022,0.014,0.858,0.128,0.9652,positive
224,224,China Foundation for Rural Development marks 3 years of commitment to...,https://www.capitalethiopia.com/2022/10/16/china-foundation-for-rural-development-marks-3-years-of-commitment-to-ethiopians/,10-16-2022,0.023,0.818,0.159,0.9779,positive
225,225,Ethiopian Airlines becomes first African carrier to convert passenger aircraft to...,https://www.capitalethiopia.com/2022/10/16/ethiopian-airlines-becomes-first-african-carrier-to-convert-passenger-aircraft-to-cargo/,10-16-2022,0.013,0.883,0.103,0.9867,positive
226,226,"Midroc, Marriot International seal three franchise deals",https://www.capitalethiopia.com/2022/10/09/midroc-marriot-international-seal-three-franchise-deals/,10-09-2022,0.0,0.873,0.127,0.9732,positive
227,227,Cooperative Bank of Oromia inks deal to erect a mega structure,https://www.capitalethiopia.com/2022/10/09/cooperative-bank-of-oromia-inks-deal-to-erect-a-mega-structure/,10-09-2022,0.0,0.807,0.193,0.9468,positive
228,228,"NSE, i-Capital Africa partner to back upcoming exchange market",https://www.capitalethiopia.com/2022/10/09/nse-i-capital-africa-partner-to-back-upcoming-exchange-market/,10-09-2022,0.0,0.791,0.209,0.9779,positive
229,229,Logistics experts to heighten know-how through master class training,https://www.capitalethiopia.com/2022/10/09/logistics-experts-to-heighten-know-how-through-master-class-training/,10-09-2022,0.023,0.77,0.207,0.9732,positive
230,230,Ethio-France 125 year bond cemented through archaeological exhibition,https://www.capitalethiopia.com/2022/10/03/ethio-france-125-year-bond-cemented-through-archaeological-exhibition/,10-03-2022,0.0,0.919,0.081,0.8074,positive
231,231,Procurement authority gears to integrate telebirr,https://www.capitalethiopia.com/2022/10/03/procurement-authority-gears-to-integrate-telebirr/,10-03-2022,0.019,0.88,0.101,0.9788,positive
232,232,"BRUH Finance launches comprehensive training, education programmes",https://www.capitalethiopia.com/2022/10/03/bruh-finance-launches-comprehensive-training-education-programmes/,10-03-2022,0.037,0.819,0.144,0.989,positive
233,233,"Ethiopia, Djibouti tailor single document for seamless logistics",https://www.capitalethiopia.com/2022/10/03/ethiopia-djibouti-tailor-single-document-for-seamless-logistics/,10-03-2022,0.007,0.888,0.105,0.9786,positive
234,234,First comprehensive stroke center inaugurated in Ethiopia,https://www.capitalethiopia.com/2022/10/03/first-comprehensive-stroke-center-inaugurated-in-ethiopia/,10-03-2022,0.05,0.81,0.14,0.9801,positive
235,235,"Cerba HealthCare, ICL ink deal to bolster diagnostic offering",https://www.capitalethiopia.com/2022/10/03/cerba-healthcare-icl-ink-deal-to-bolster-diagnostic-offering/,10-03-2022,0.017,0.799,0.184,0.9931,positive
236,236,Combination treatment for visceral leishmaniasis effective in Eastern Africa,https://www.capitalethiopia.com/2022/10/03/combination-treatment-for-visceral-leishmaniasis-effective-in-eastern-africa/,10-03-2022,0.137,0.797,0.065,-0.9643,negative
237,237,Tulu Kapi Gold Project nears launch,https://www.capitalethiopia.com/2022/10/03/tulu-kapi-gold-project-nears-launch/,10-03-2022,0.01,0.881,0.108,0.9776,positive
238,238,"Bona fide partnership between Djibouti, Ethiopia prosper logistics",https://www.capitalethiopia.com/2022/09/25/bona-fide-partnership-between-djibouti-ethiopia-prosper-logistics/,09-25-2022,0.02,0.84,0.14,0.9963,positive
239,239,"Ethiopian airlines, Geven-Sky Tecno partner to supply Boeing with insulation blankets",https://www.capitalethiopia.com/2022/09/25/ethiopian-airlines-geven-sky-tecno-partner-to-supply-boeing-with-insulation-blankets/,09-25-2022,0.006,0.862,0.132,0.9896,positive
240,240,Siinqee Bank officially announces its open for business,https://www.capitalethiopia.com/2022/09/25/siinqee-bank-officially-announces-its-open-for-business/,09-25-2022,0.0,0.923,0.077,0.9403,positive
241,241,Somaliland forms one power unit to receive Ethiopia’s energy,https://www.capitalethiopia.com/2022/09/25/somaliland-forms-one-power-unit-to-receive-ethiopias-energy/,09-25-2022,0.018,0.854,0.128,0.9931,positive
242,242,"Ethiopia’s first private data centre launches, courtesy of RedFox Solutions",https://www.capitalethiopia.com/2022/09/25/ethiopias-first-private-data-centre-launches-courtesy-of-redfox-solutions/,09-25-2022,0.0,0.91,0.09,0.8885,positive
243,243,Agriculture Ministry rolls out tenders early for fertilizer imports,https://www.capitalethiopia.com/2022/09/25/agriculture-ministry-rolls-out-tenders-early-for-fertilizer-imports/,09-25-2022,0.018,0.935,0.047,0.7783,positive
244,244,SOS Children Villages launches project to leave no youth behind,https://www.capitalethiopia.com/2022/09/25/sos-children-villages-launches-project-to-leave-no-youth-behind/,09-25-2022,0.0,0.804,0.196,0.9678,positive
245,245,Meta launches Meta Boost in Ethiopia to spur digital business,https://www.capitalethiopia.com/2022/09/25/meta-launches-meta-boost-in-ethiopia-to-spur-digital-business/,09-25-2022,0.009,0.764,0.226,0.9932,positive
246,246,OLA Energy Ethiopia sets up one stop shop services,https://www.capitalethiopia.com/2022/09/25/ola-energy-ethiopia-sets-up-one-stop-shop-services/,09-25-2022,0.023,0.73,0.247,0.9442,positive
247,247,"Nutrition International, EPHI partner to reduce incidences of NTDs",https://www.capitalethiopia.com/2022/09/25/nutrition-international-ephi-partner-to-reduce-incidences-of-ntds/,09-25-2022,0.05,0.831,0.12,0.9657,positive
248,248,Tweaking construction industry policy proves vital for progress,https://www.capitalethiopia.com/2022/09/18/tweaking-construction-industry-policy-proves-vital-for-progress/,09-18-2022,0.056,0.825,0.119,0.9477,positive
249,249,Championing for a vaccinated Africa,https://www.capitalethiopia.com/2022/09/18/championing-for-a-vaccinated-africa/,09-18-2022,0.076,0.806,0.119,0.872,positive
250,250,NBE awaits gov’t signal on a much anticipated insurance Fund,https://www.capitalethiopia.com/2022/09/18/nbe-awaits-govt-signal-on-a-much-anticipated-insurance-fund/,09-18-2022,0.022,0.871,0.107,0.9866,positive
251,251,"Insurers, traffic police hold discussion on curbing accidents",https://www.capitalethiopia.com/2022/09/18/insurers-traffic-police-hold-discussion-on-curbing-accidents/,09-18-2022,0.136,0.616,0.249,0.9501,positive
252,252,"Pink Lotus organizes recognition, fundraiser for breast cancer",https://www.capitalethiopia.com/2022/09/18/pink-lotus-organizes-recognition-fundraiser-for-breast-cancer/,09-18-2022,0.196,0.646,0.158,-0.9799,negative
253,253,Ethiopia ranks 175 out of 191 countries on the Human Development...,https://www.capitalethiopia.com/2022/09/11/ethiopia-ranks-175-out-of-191-countries-on-the-human-development-index/,09-11-2022,0.166,0.726,0.108,-0.9751,negative
254,254,School supplies soar in pricing as New Year dawns,https://www.capitalethiopia.com/2022/09/11/school-supplies-soar-in-pricing-as-new-year-dawns/,09-11-2022,0.059,0.893,0.047,0.0258,neutral
255,255,"Dashen finances new region, inks MOU with Gambella admin",https://www.capitalethiopia.com/2022/09/11/dashen-finances-new-region-inks-mou-with-gambella-admin/,09-11-2022,0.0,0.79,0.21,0.9871,positive
256,256,World Bank affirms commitment to Ethiopia,https://www.capitalethiopia.com/2022/09/11/world-bank-affirms-commitment-to-ethiopia/,09-11-2022,0.064,0.762,0.175,0.9901,positive
257,257,Local products to supersede over import,https://www.capitalethiopia.com/2022/09/11/local-products-to-supersede-over-import/,09-11-2022,0.092,0.754,0.153,0.9316,positive
258,258,Ethiopia hosts East African delegates for Bamboo Study Tour,https://www.capitalethiopia.com/2022/09/11/ethiopia-hosts-east-african-delegates-for-bamboo-study-tour/,09-11-2022,0.007,0.828,0.166,0.9966,positive
259,259,McKinsey research shows that Africa’s electronic payments market could grow by...,https://www.capitalethiopia.com/2022/09/11/mckinsey-research-shows-that-africas-electronic-payments-market-could-grow-by-152-percent-by-2025/,09-11-2022,0.023,0.807,0.17,0.989,positive
260,260,CYCLING: The wheels of change,https://www.capitalethiopia.com/2022/09/11/cycling-the-wheels-of-change/,09-11-2022,0.044,0.767,0.189,0.9984,positive
261,261,The World Bank Group reassured its commitment to support Ethiopia,https://www.capitalethiopia.com/2022/09/09/the-world-bank-group-reassured-its-commitment-to-support-ethiopia/,09-09-2022,0.0,0.621,0.379,0.9705,positive
262,262,Local leather goods to capture int’l eye at Bole airport,https://www.capitalethiopia.com/2022/09/04/local-leather-goods-to-capture-intl-eye-at-bole-airport/,09-04-2022,0.009,0.79,0.2,0.9946,positive
263,263,Kacha becomes EthSwitch member,https://www.capitalethiopia.com/2022/09/04/kacha-becomes-ethswitch-member/,09-04-2022,0.008,0.862,0.13,0.9885,positive
264,264,Ashewa Tech bridges logistics gap in Addis,https://www.capitalethiopia.com/2022/09/04/ashewa-tech-bridges-logistics-gap-in-addis/,09-04-2022,0.0,0.892,0.108,0.891,positive
265,265,"Water, Energy Ministry hosts summit to harness solar potential",https://www.capitalethiopia.com/2022/09/04/water-energy-ministry-hosts-summit-to-harness-solar-potential/,09-04-2022,0.008,0.807,0.186,0.9919,positive
266,266,Ethiopia ranks 9th globally in food inflation,https://www.capitalethiopia.com/2022/09/04/ethiopia-ranks-9th-globally-in-food-inflation/,09-04-2022,0.089,0.783,0.128,0.7902,positive
267,267,Debt service suspension initiative between Ethiopia and the Saudi,https://www.capitalethiopia.com/2022/09/02/debt-service-suspension-initiative-between-ethiopia-and-the-saudi/,09-02-2022,0.112,0.809,0.079,-0.3612,negative
268,268,"The insurance giant, Ethiopian Insurance Corporation, registers gigantic performance",https://www.capitalethiopia.com/2022/09/01/the-insurance-giant-ethiopian-insurance-corporation-registers-gigantic-performance/,09-01-2022,0.046,0.843,0.11,0.6597,positive
269,269,Yagout to soon debut in Ethiopia’s fintech scene,https://www.capitalethiopia.com/2022/08/28/yagout-to-soon-debut-in-ethiopias-fintech-scene/,08-28-2022,0.024,0.809,0.168,0.9633,positive
270,270,Ethio Telecom selects HyperSense Fraud Management,https://www.capitalethiopia.com/2022/08/28/ethio-telecom-selects-hypersense-fraud-management/,08-28-2022,0.194,0.642,0.164,-0.9468,negative
271,271,Ethio-Djibouti Railway becomes a game-changer,https://www.capitalethiopia.com/2022/08/28/ethio-djibouti-railway-becomes-a-game-changer/,08-28-2022,0.005,0.845,0.151,0.9935,positive
272,272,Sustaining Ethiopia’s peace and stability,https://www.capitalethiopia.com/2022/08/28/sustaining-ethiopias-peace-and-stability/,08-28-2022,0.0,0.674,0.326,0.9941,positive
273,273,MassDel set to transform freight transport,https://www.capitalethiopia.com/2022/08/28/massdel-set-to-transform-freight-transport/,08-28-2022,0.0,0.89,0.11,0.9246,positive
274,274,Ethiopian Shipping and Logistics Services Enterprise (ESLSE) amassed over 5.6 billion...,https://www.capitalethiopia.com/2022/08/26/ethiopian-shipping-and-logistics-services-enterprise-eslse-amassed-over-5-6-billion-birr-profit/,08-26-2022,0.045,0.817,0.138,0.6249,positive
275,275,PPP set to flourish under new direct negotiations decree,https://www.capitalethiopia.com/2022/08/21/ppp-set-to-flourish-under-new-direct-negotiations-decree/,08-21-2022,0.006,0.769,0.224,0.9974,positive
276,276,Dashen optimizes the cloud to widen digital financial reach,https://www.capitalethiopia.com/2022/08/21/dashen-optimizes-the-cloud-to-widen-digital-financial-reach/,08-21-2022,0.025,0.797,0.178,0.9913,positive
277,277,"CBE, EagleLion ink deal to digitize the fuel market",https://www.capitalethiopia.com/2022/08/21/cbe-eaglelion-ink-deal-to-digitize-the-fuel-market/,08-21-2022,0.013,0.87,0.117,0.9578,positive
278,278,Gov’t tables 8 sugar mills up for grabs,https://www.capitalethiopia.com/2022/08/21/govt-tables-8-sugar-mills-up-for-grabs/,08-21-2022,0.0,0.879,0.121,0.9643,positive
279,279,Contract farming bill passed,https://www.capitalethiopia.com/2022/08/19/contract-farming-bill-passed/,08-19-2022,0.0,0.822,0.178,0.8481,positive
280,280,The government issued an expression of interest (EOI) to sell eight...,https://www.capitalethiopia.com/2022/08/19/the-government-issued-an-expression-of-interest-eoi-to-sell-eight-sugar-millers-for-fully-acquisition/,08-19-2022,0.0,0.925,0.075,0.4588,positive
281,281,Ethiopia inaugurates first free trade zone in Dire Dawa,https://www.capitalethiopia.com/2022/08/14/ethiopia-inaugurates-first-free-trade-zone-in-dire-dawa/,08-14-2022,0.046,0.718,0.236,0.9989,positive
282,282,"Tech gurus to converge in Addis, this September",https://www.capitalethiopia.com/2022/08/14/tech-gurus-to-converge-in-addis-this-september/,08-14-2022,0.0,0.897,0.103,0.875,positive
283,283,PM rallys global investors to create recreational sites at GERD,https://www.capitalethiopia.com/2022/08/14/pm-rallys-global-investors-to-create-recreational-sites-at-gerd/,08-14-2022,0.004,0.812,0.185,0.9946,positive
284,284,NBE applauds financial industry’s progressive stride,https://www.capitalethiopia.com/2022/08/14/nbe-applauds-financial-industrys-progressive-stride/,08-14-2022,0.0,0.813,0.187,0.9964,positive
285,285,WorldVeg holds consultative workshop on bio-pesticide adoption,https://www.capitalethiopia.com/2022/08/14/worldveg-holds-consultative-workshop-on-bio-pesticide-adoption/,08-14-2022,0.029,0.74,0.231,0.9868,positive
286,286,Bank profits soared in 2022,https://www.capitalethiopia.com/2022/08/09/bank-profits-soared-in-2022/,08-09-2022,0.0,0.836,0.164,0.9926,positive
287,287,China’s Sinotruk gains dominance in ESLSE’s fleet,https://www.capitalethiopia.com/2022/08/07/chinas-sinotruk-gains-dominance-in-eslses-fleet/,08-07-2022,0.012,0.835,0.153,0.9937,positive
288,288,Tele partners with Dashen to serve the financially underserved,https://www.capitalethiopia.com/2022/08/07/tele-partners-with-dashen-to-serve-the-financially-underserved/,08-07-2022,0.003,0.828,0.169,0.9961,positive
289,289,Court amends charges on well-known businessmen,https://www.capitalethiopia.com/2022/08/07/court-amends-charges-on-well-known-businessmen/,08-07-2022,0.181,0.741,0.078,-0.9908,negative
290,290,UNECA holds forum to sensitize on climate financing,https://www.capitalethiopia.com/2022/08/07/uneca-holds-forum-to-sensitize-on-climate-financing/,08-07-2022,0.035,0.83,0.136,0.9832,positive
291,291,Goh Betoch’s first year financial stride,https://www.capitalethiopia.com/2022/07/31/goh-betochs-first-year-financial-stride/,07-31-2022,0.031,0.844,0.125,0.9949,positive
292,292,AU-ILO-IOM-ECA jointly launch national program,https://www.capitalethiopia.com/2022/07/31/au-ilo-iom-eca-jointly-launch-national-program/,07-31-2022,0.021,0.923,0.056,0.34,positive
293,293,Huawei renders cyber security training to communications authority,https://www.capitalethiopia.com/2022/07/31/huawei-renders-cyber-security-training-to-communications-authority/,07-31-2022,0.012,0.745,0.243,0.9956,positive
294,294,Clients in outrage over railway tariff,https://www.capitalethiopia.com/2022/07/31/clients-in-outrage-over-railway-tariff/,07-31-2022,0.051,0.872,0.077,0.9097,positive
295,295,Telebirr proves effective in tax payment system,https://www.capitalethiopia.com/2022/07/24/telebirr-proves-effective-in-tax-payment-system/,07-24-2022,0.016,0.866,0.118,0.9652,positive
296,296,Breakthrough Trading announces readiness to expand activities,https://www.capitalethiopia.com/2022/07/24/breakthrough-trading-announces-readiness-to-expand-activities/,07-24-2022,0.003,0.798,0.199,0.998,positive
297,297,Kacha steps foot independently in the digital finance space,https://www.capitalethiopia.com/2022/07/24/kacha-steps-foot-independently-in-the-digital-finance-space/,07-24-2022,0.009,0.876,0.114,0.9871,positive
298,298,Trade ministry targets ‘$5.4 billion’ from export,https://www.capitalethiopia.com/2022/07/24/trade-ministry-targets-5-4-billion-from-export/,07-24-2022,0.039,0.837,0.124,0.9818,positive
299,299,Oromia bank forges partnerships to better digital banking services,https://www.capitalethiopia.com/2022/07/24/oromia-bank-forges-partnerships-to-better-digital-banking-services/,07-24-2022,0.0,0.899,0.101,0.9716,positive
300,300,Geray Real Estate sets emulative pace for construction turnkey,https://www.capitalethiopia.com/2022/07/24/geray-real-estate-sets-emulative-pace-for-construction-turnkey/,07-24-2022,0.022,0.841,0.137,0.9939,positive
301,301,Africa prepares rollout of world’s first Malaria Vaccine,https://www.capitalethiopia.com/2022/07/24/africa-prepares-rollout-of-worlds-first-malaria-vaccine/,07-24-2022,0.112,0.784,0.104,-0.024,neutral
302,302,COVID-19 vaccination remains a key priority for Africa,https://www.capitalethiopia.com/2022/07/24/covid-19-vaccination-remains-a-key-priority-for-africa/,07-24-2022,0.009,0.771,0.22,0.9968,positive
303,303,MoTRI streamlines efforts to capitalize on Franco-Valuta privileges,https://www.capitalethiopia.com/2022/07/17/motri-streamlines-efforts-to-capitalize-on-franco-valuta-privileges/,07-17-2022,0.083,0.831,0.085,0.3915,positive
304,304,Sidama coffee dominates Cup of Excellence,https://www.capitalethiopia.com/2022/07/17/sidama-coffee-dominates-cup-of-excellence/,07-17-2022,0.0,0.816,0.184,0.9964,positive
305,305,"Ethiopia, Kenya to pen agreement to combat illegal trade",https://www.capitalethiopia.com/2022/07/17/ethiopia-kenya-to-pen-agreement-to-combat-illegal-trade/,07-17-2022,0.131,0.736,0.133,-0.5574,negative
306,306,EIMA 2022: Cooperation between Ethiopia and Italy,https://www.capitalethiopia.com/2022/07/17/eima-2022-cooperation-between-ethiopia-and-italy/,07-17-2022,0.006,0.848,0.147,0.9934,positive
307,307,Tsehay bank to make bright entry late July,https://www.capitalethiopia.com/2022/07/17/tsehay-bank-to-make-bright-entry-late-july/,07-17-2022,0.012,0.89,0.097,0.9287,positive
308,308,Horticulture industry surpasses performance expectation,https://www.capitalethiopia.com/2022/07/17/horticulture-industry-surpasses-performance-expectation/,07-17-2022,0.021,0.865,0.113,0.9719,positive
309,309,Cooperative Bank of Oromia registers high earnings,https://www.capitalethiopia.com/2022/07/10/cooperative-bank-of-oromia-registers-high-earnings/,07-10-2022,0.0,0.776,0.224,0.9808,positive
310,310,Ahadu bank marks maiden financial entry,https://www.capitalethiopia.com/2022/07/10/ahadu-bank-marks-maiden-financial-entry/,07-10-2022,0.01,0.889,0.101,0.9628,positive
311,311,Ethiopia to host ‘big 5 construct exhibition’,https://www.capitalethiopia.com/2022/07/10/ethiopia-to-host-big-5-construct-exhibition/,07-10-2022,0.0,0.907,0.093,0.9062,positive
312,312,Four focus pillars announced for new budget year,https://www.capitalethiopia.com/2022/07/10/four-focus-pillars-announced-for-new-budget-year/,07-10-2022,0.044,0.833,0.123,0.976,positive
313,313,"Tapping the agri-sector to reap benefits, success stories from flourishing farms",https://www.capitalethiopia.com/2022/07/10/tapping-the-agri-sector-to-reap-benefits-success-stories-from-flourishing-farms/,07-10-2022,0.016,0.818,0.167,0.9991,positive
314,314,MLA transitions to a De-Jure law firm,https://www.capitalethiopia.com/2022/07/10/mla-transitions-to-a-de-jure-law-firm/,07-10-2022,0.039,0.865,0.096,0.8481,positive
315,315,Ramis Bank gets the nod in licensing,https://www.capitalethiopia.com/2022/07/10/ramis-bank-gets-the-nod-in-licensing/,07-10-2022,0.023,0.868,0.109,0.9578,positive
316,316,Novartis announces $250 million to the fight against NTDs,https://www.capitalethiopia.com/2022/07/04/novartis-announces-250-million-to-the-fight-against-ntds/,07-04-2022,0.108,0.743,0.149,0.8957,positive
317,317,Huawei Ethiopia holds partners’ summit,https://www.capitalethiopia.com/2022/07/03/huawei-ethiopia-holds-partners-summit/,07-03-2022,0.0,0.873,0.127,0.9493,positive
318,318,Addis Chamber celebrates momentous 75-year journey,https://www.capitalethiopia.com/2022/07/03/addis-chamber-celebrates-momentous-75-year-journey/,07-03-2022,0.047,0.77,0.182,0.981,positive
319,319,AfDB supports the Addis-Djibouti business corridor in Africa,https://www.capitalethiopia.com/2022/07/03/afdb-supports-the-addis-djibouti-business-corridor-in-africa/,07-03-2022,0.0,0.903,0.097,0.9186,positive
320,320,Bahir Dar meeting ends with understanding to organize the private sector...,https://www.capitalethiopia.com/2022/07/03/bahir-dar-meeting-ends-with-understanding-to-organize-the-private-sector-for-the-national-dialogue/,07-03-2022,0.015,0.704,0.28,0.9959,positive
321,321,ILO shares experience on SIRAYE Programme,https://www.capitalethiopia.com/2022/07/03/ilo-shares-experience-on-siraye-programme/,07-03-2022,0.012,0.807,0.181,0.9761,positive
322,322,Dashen bank opens limitless opportunities with new data center,https://www.capitalethiopia.com/2022/06/26/dashen-bank-opens-limitless-opportunities-with-new-data-center/,06-26-2022,0.03,0.774,0.196,0.9934,positive
323,323,Ethio-Indian relations strengthen as new embassy is inaugurated,https://www.capitalethiopia.com/2022/06/26/ethio-indian-relations-strengthen-as-new-embassy-is-inaugurated/,06-26-2022,0.0,0.931,0.069,0.836,positive
324,324,Incentives needed to boost SAF production,https://www.capitalethiopia.com/2022/06/26/incentives-needed-to-boost-saf-production/,06-26-2022,0.03,0.791,0.179,0.9961,positive
325,325,Gold exploration firm on verge of losing license,https://www.capitalethiopia.com/2022/06/26/gold-exploration-firm-on-verge-of-losing-license/,06-26-2022,0.061,0.81,0.128,0.9769,positive
326,326,"IMF delegates jet in to discuss reforms, developments",https://www.capitalethiopia.com/2022/06/26/imf-delegates-jet-in-to-discuss-reforms-developments/,06-26-2022,0.154,0.697,0.149,-0.3818,negative
327,327,"We’ve achieved against all odds, PM emphasizes",https://www.capitalethiopia.com/2022/06/19/weve-achieved-against-all-odds-pm-emphasizes/,06-19-2022,0.059,0.838,0.102,0.9571,positive
328,328,Policy to govern intellectual property on the horizon,https://www.capitalethiopia.com/2022/06/19/policy-to-govern-intellectual-property-on-the-horizon/,06-19-2022,0.013,0.693,0.295,0.9959,positive
329,329,Restricted sugar bid sees three bidders advance,https://www.capitalethiopia.com/2022/06/19/restricted-sugar-bid-sees-three-bidders-advance-2/,06-19-2022,0.046,0.845,0.109,0.9723,positive
330,330,Odorless poultry house innovation scoops prize award,https://www.capitalethiopia.com/2022/06/19/odorless-poultry-house-innovation-scoops-prize-award/,06-19-2022,0.0,0.72,0.28,0.9891,positive
331,331,The Ethiopian Civil Society Organizations Council (ECSOC) and the Ethiopian Political...,https://www.capitalethiopia.com/2022/06/19/the-ethiopian-civil-society-organizations-council-ecsoc-and-the-ethiopian-political-parties-joint-council-eppjc-signed-a-memorandum-of-understanding/,06-19-2022,0.0,0.799,0.201,0.9774,positive
332,332,Restricted sugar bid sees three bidders advance,https://www.capitalethiopia.com/2022/06/19/restricted-sugar-bid-sees-three-bidders-advance/,06-19-2022,0.046,0.845,0.109,0.9723,positive
333,333,Amhara bank steps foot in the financial industry,https://www.capitalethiopia.com/2022/06/19/amhara-bank-steps-foot-in-the-financial-industry/,06-19-2022,0.007,0.904,0.089,0.9709,positive
334,334,"Private sector pivotal for AfCFTA success, underline experts",https://www.capitalethiopia.com/2022/06/19/private-sector-pivotal-for-afcfta-success-underline-experts/,06-19-2022,0.0,0.655,0.345,0.9983,positive
335,335,Redesigning forex mechanisms signaled as crucial by new study,https://www.capitalethiopia.com/2022/06/12/redesigning-forex-mechanisms-signaled-as-crucial-by-new-study/,06-12-2022,0.076,0.75,0.174,0.9914,positive
336,336,MoF proposes 17% increase in upcoming budget year,https://www.capitalethiopia.com/2022/06/12/mof-proposes-17-increase-in-upcoming-budget-year/,06-12-2022,0.107,0.826,0.067,-0.9493,negative
337,337,Addis chamber’s new solution based approach,https://www.capitalethiopia.com/2022/06/12/addis-chambers-new-solution-based-approach/,06-12-2022,0.023,0.8,0.177,0.9337,positive
338,338,Plugging British investors to Ethiopian businesses,https://www.capitalethiopia.com/2022/06/12/plugging-british-investors-to-ethiopian-businesses/,06-12-2022,0.0,0.746,0.254,0.9186,positive
339,339,"Hope for people co-infected with visceral leishmaniasis, HIV",https://www.capitalethiopia.com/2022/06/12/hope-for-people-co-infected-with-visceral-leishmaniasis-hiv/,06-12-2022,0.097,0.782,0.122,0.9243,positive
340,340,Largest learning gains among Nobel Prize-winner confirms,https://www.capitalethiopia.com/2022/06/12/largest-learning-gains-among-nobel-prize-winner-confirms/,06-12-2022,0.045,0.771,0.184,0.9686,positive
341,341,"Huawei announces new inventions that will revolutionize AI, 5G",https://www.capitalethiopia.com/2022/06/12/huawei-announces-new-inventions-that-will-revolutionize-ai-5g/,06-12-2022,0.022,0.746,0.232,0.9942,positive
342,342,CSO driven bank in the pipeline,https://www.capitalethiopia.com/2022/06/06/cso-driven-bank-in-the-pipeline/,06-06-2022,0.035,0.793,0.173,0.9694,positive
343,343,"Coca-Cola inaugurates Sebeta plant, new drink to follow",https://www.capitalethiopia.com/2022/06/06/coca-cola-inaugurates-sebeta-plant-new-drink-to-follow/,06-06-2022,0.021,0.829,0.15,0.9924,positive
344,344,Mayor-Private sector conference,https://www.capitalethiopia.com/2022/06/06/mayor-private-sector-conference/,06-06-2022,0.069,0.753,0.178,0.938,positive
345,345,"Volunteering partnership helps to build forward better, underlines new report",https://www.capitalethiopia.com/2022/06/06/volunteering-partnership-helps-to-build-forward-better-underlines-new-report/,06-06-2022,0.008,0.809,0.183,0.993,positive
346,346,Molding entrepreneurial success in Ethiopia’s TVETs,https://www.capitalethiopia.com/2022/06/06/molding-entrepreneurial-success-in-ethiopias-tvets/,06-06-2022,0.0,0.922,0.078,0.8316,positive
347,347,12th Ethio Chamber International Trade Fair,https://www.capitalethiopia.com/2022/06/06/12th-ethio-chamber-international-trade-fair/,06-06-2022,0.0,0.776,0.224,0.9538,positive
348,348,Streamlining labor needs in the region,https://www.capitalethiopia.com/2022/06/06/streamlining-labor-needs-in-the-region/,06-06-2022,0.025,0.757,0.217,0.9969,positive
349,349,"Africa hotel development: It’s Egypt, Morocco, Ethiopia; Accor, Marriott, Hilton",https://www.capitalethiopia.com/2022/06/06/africa-hotel-development-its-egypt-morocco-ethiopia-accor-marriott-hilton/,06-06-2022,0.017,0.873,0.11,0.9947,positive
350,350,CoM 2022 calls for extension of debt service suspension,https://www.capitalethiopia.com/2022/06/06/com-2022-calls-for-extension-of-debt-service-suspension/,06-06-2022,0.058,0.732,0.209,0.9878,positive
351,351,New report urges African governments to stamp out witchcraft accusations against...,https://www.capitalethiopia.com/2022/06/06/new-report-urges-african-governments-to-stamp-out-witchcraft-accusations-against-children/,06-06-2022,0.393,0.553,0.054,-0.9995,negative
352,352,Every year the tobacco industry costs the world more than 8...,https://www.capitalethiopia.com/2022/05/31/every-year-the-tobacco-industry-costs-the-world-more-than-8-million-human-lives/,05-31-2022,0.064,0.785,0.151,0.959,positive
353,353,Ministry takes stern measures to curb hoarding,https://www.capitalethiopia.com/2022/05/30/ministry-takes-stern-measures-to-curb-hoarding/,05-30-2022,0.067,0.795,0.138,0.9896,positive
354,354,RIDE integrates telebirr as payment option,https://www.capitalethiopia.com/2022/05/30/ride-integrates-telebirr-as-payment-option/,05-30-2022,0.024,0.876,0.1,0.886,positive
355,355,Linking investors to Ethiopia’s promising SMEs,https://www.capitalethiopia.com/2022/05/30/linking-investors-to-ethiopias-promising-smes/,05-30-2022,0.037,0.71,0.252,0.996,positive
356,356,Ethiopian airlines tops Africa in digitalization,https://www.capitalethiopia.com/2022/05/30/ethiopian-airlines-tops-africa-in-digitalization/,05-30-2022,0.0,0.932,0.068,0.743,positive
